"dist","n","method","target","coverage_uncond","coverage_cond","success_rate","valid_ci_rate","mean_width","failure_rate"
"t20",200,"percentile","theta4",0.9012,0.9012,1,1,0.928615176898849,0
"t20",200,"studentized","theta4",0.9348,0.9348,1,1,1.18962825762581,0
"t3",200,"normal","theta4",NA,NA,NA,NA,NA,0
"t3",200,"percentile","theta4",NA,NA,NA,NA,NA,0
"t3",200,"studentized","theta4",NA,NA,NA,NA,NA,0
"t4",200,"normal","theta4",NA,NA,NA,NA,NA,0
"t4",200,"percentile","theta4",NA,NA,NA,NA,NA,0
"t4",200,"studentized","theta4",NA,NA,NA,NA,NA,0
"t5",200,"normal","theta4",0.557,0.557,1,1,3.50976107733297,0
"t5",200,"percentile","theta4",0.5364,0.5364,1,1,2.82174041691989,0
"t5",200,"studentized","theta4",0.6972,0.6972,1,1,32.5999105456212,0
"t6",200,"normal","theta4",0.7444,0.7444,1,1,2.78389648187835,0
"t6",200,"percentile","theta4",0.7104,0.7104,1,1,2.23092982492482,0
"t6",200,"studentized","theta4",0.831,0.831,1,1,18.0979022582433,0
"t8",200,"normal","theta4",0.8662,0.8662,1,1,1.80556801548022,0
"t8",200,"percentile","theta4",0.8278,0.8278,1,1,1.44840144672664,0
"t8",200,"studentized","theta4",0.8944,0.8944,1,1,3.57053618208003,0
"contam",500,"normal","theta4",0.8452,0.8452,1,1,7.99505165552545,0
"contam",500,"percentile","theta4",0.846,0.846,1,1,7.1947757909755,0
"contam",500,"studentized","theta4",0.9202,0.9202,1,1,13.9870320291808,0
"normal",500,"normal","theta4",0.9754,0.9754,1,1,0.644854023180571,0
"normal",500,"percentile","theta4",0.9408,0.9408,1,1,0.50568863846402,0
"normal",500,"studentized","theta4",0.9476,0.9476,1,1,0.540917319040278,0
"t10",500,"normal","theta4",0.9262,0.9262,1,1,1.05452896748725,0
"t10",500,"percentile","theta4",0.8878,0.8878,1,1,0.85790158463696,0
"t10",500,"studentized","theta4",0.9216,0.9216,1,1,1.26674505290961,0
"t12",500,"normal","theta4",0.9402,0.9402,1,1,0.944847132107653,0
"t12",500,"percentile","theta4",0.9038,0.9038,1,1,0.7645976316251,0
"t12",500,"studentized","theta4",0.9228,0.9228,1,1,0.971934975682525,0
"t20",500,"normal","theta4",0.956,0.956,1,1,0.785104309728837,0
"t20",500,"percentile","theta4",0.9162,0.9162,1,1,0.627474540219163,0
"t20",500,"studentized","theta4",0.935,0.935,1,1,0.716261705357369,0
"t3",500,"normal","theta4",NA,NA,NA,NA,NA,0
"t3",500,"percentile","theta4",NA,NA,NA,NA,NA,0
"t3",500,"studentized","theta4",NA,NA,NA,NA,NA,0
"t4",500,"normal","theta4",NA,NA,NA,NA,NA,0
"t4",500,"percentile","theta4",NA,NA,NA,NA,NA,0
"t4",500,"studentized","theta4",NA,NA,NA,NA,NA,0
"t5",500,"normal","theta4",0.5826,0.5826,1,1,4.10424679092062,0
"t5",500,"percentile","theta4",0.5646,0.5646,1,1,3.31957224384995,0
"t5",500,"studentized","theta4",0.7116,0.7116,1,1,375.919594092941,0
"t6",500,"normal","theta4",0.7862,0.7862,1,1,2.20541359661444,0
"t6",500,"percentile","theta4",0.7536,0.7536,1,1,1.80682570513286,0
"t6",500,"studentized","theta4",0.8366,0.8366,1,1,37.4546172792661,0
"t8",500,"normal","theta4",0.9012,0.9012,1,1,1.33694507491517,0
"t8",500,"percentile","theta4",0.863,0.863,1,1,1.09562943702637,0
"t8",500,"studentized","theta4",0.9046,0.9046,1,1,2.46346594484196,0
